timestamp,buyer,seller,component,qty,price,traced,eventType
312268,A3,X1,c5,118581,20.18,True,NORMAL_PURCHASE
314011,l1,X4,c1,90809,3.13,True,NOTINVOLVED_PURCHASE
317042,l48,X4,c2,53202,4.87,True,NOTINVOLVED_PURCHASE
318194,A5,a5,c6,78942,5.36,True,SHADOW_PURCHASE1
318503,l37,X1,c5,116390,15.43,True,NOTINVOLVED_PURCHASE
322075,l64,X6,c5,49334,21.03,True,NOTINVOLVED_PURCHASE
331331,l36,X0,c3,79488,3.72,True,NOTINVOLVED_PURCHASE
332180,l63,X6,c2,39944,10.75,True,NOTINVOLVED_PURCHASE
335526,l60,X1,c5,73863,23.61,True,NOTINVOLVED_PURCHASE
337631,l154,X0,c1,56833,3.42,True,NOTINVOLVED_PURCHASE
341771,l138,X5,c1,39111,3.13,True,NOTINVOLVED_PURCHASE
342401,l110,X2,c1,107853,2.65,True,NOTINVOLVED_PURCHASE
345121,l42,X4,c2,106799,4.25,True,NOTINVOLVED_PURCHASE
355854,l114,X4,c4,66841,15.88,True,NOTINVOLVED_PURCHASE
373643,l16,X4,c6,95443,3.62,True,NOTINVOLVED_PURCHASE
375466,l139,X3,c6,117517,10.24,True,NOTINVOLVED_PURCHASE
375895,l100,X6,c5,32656,13.26,True,NOTINVOLVED_PURCHASE
378020,l103,X5,c1,104585,3.15,True,NOTINVOLVED_PURCHASE
380036,l101,X6,c1,102914,2.74,True,NOTINVOLVED_PURCHASE
381359,l118,X6,c1,58285,2.1,True,NOTINVOLVED_PURCHASE
385531,l147,X0,c4,34073,5.23,True,NOTINVOLVED_PURCHASE
385885,l142,X0,c5,89924,8.47,True,NOTINVOLVED_PURCHASE
401074,l104,X2,c5,89085,9.84,True,NOTINVOLVED_PURCHASE
403582,l57,X6,c1,97074,2.91,True,NOTINVOLVED_PURCHASE
409625,l108,X4,c1,98306,2.41,True,NOTINVOLVED_PURCHASE
414195,l70,X3,c6,61582,4.02,True,NOTINVOLVED_PURCHASE
417627,l107,X3,c1,62642,3.55,True,NOTINVOLVED_PURCHASE
421415,l109,X0,c1,93947,3.19,True,NOTINVOLVED_PURCHASE
433115,l73,X6,c2,71164,12.36,True,NOTINVOLVED_PURCHASE
442004,l66,X3,c6,57063,10.3,True,NOTINVOLVED_PURCHASE
449978,l85,X0,c3,99334,3.82,True,NOTINVOLVED_PURCHASE
453105,l58,X4,c1,79346,2.72,True,NOTINVOLVED_PURCHASE
456457,l45,X6,c4,90110,13.98,True,NOTINVOLVED_PURCHASE
457550,l72,X2,c6,79710,5.62,True,NOTINVOLVED_PURCHASE
460289,l78,X6,c5,81144,9.45,True,NOTINVOLVED_PURCHASE
462588,A4,X5,c1,41697,2.04,True,NORMAL_PURCHASE
467724,l127,X1,c6,45892,3.4,True,NOTINVOLVED_PURCHASE
468832,l43,X5,c4,38498,11.42,True,NOTINVOLVED_PURCHASE
469297,l12,X5,c4,79262,16.37,True,NOTINVOLVED_PURCHASE
470183,l22,X0,c3,88862,5.24,True,NOTINVOLVED_PURCHASE
470565,l123,X6,c5,90135,16.24,True,NOTINVOLVED_PURCHASE
472433,l59,X6,c5,36712,17.54,True,NOTINVOLVED_PURCHASE
478929,l8,X4,c1,116371,2.26,True,NOTINVOLVED_PURCHASE
