timestamp,from,to,amount,eventType
21216241,a5,f3,384774.56,MONEY_TRANSFER
23790611,a0,f1,424118.22,MONEY_TRANSFER
24147391,a3,f1,313226.7,MONEY_TRANSFER
25918053,a2,f2,409157.63,MONEY_TRANSFER
26612888,a5,f3,596986.7,MONEY_TRANSFER
29354067,a2,f2,417130.0,MONEY_TRANSFER
29946212,a4,f0,342484.58,MONEY_TRANSFER
32027554,a5,f3,633823.92,MONEY_TRANSFER
32292703,a3,f1,429305.27,MONEY_TRANSFER
37057666,a5,f3,411893.32,MONEY_TRANSFER
38134990,a3,f1,401636.2,MONEY_TRANSFER
39676091,a1,f4,291438.22,MONEY_TRANSFER
40052313,a3,f1,396905.68,MONEY_TRANSFER
40427610,a0,f1,563234.1,MONEY_TRANSFER
43016015,a1,f4,350688.43,MONEY_TRANSFER
45678951,a5,f3,482714.14,MONEY_TRANSFER
47313021,a3,f1,490290.41,MONEY_TRANSFER
47854358,a3,f1,347754.75,MONEY_TRANSFER
48186678,a4,f4,377291.35,MONEY_TRANSFER
48416755,a0,f1,498579.5,MONEY_TRANSFER
50500897,a1,f4,473262.5,MONEY_TRANSFER
50792193,a0,f1,1225659.88,MONEY_TRANSFER
50830184,a0,f1,1006808.75,MONEY_TRANSFER
52378377,a2,f2,678828.21,MONEY_TRANSFER
53207986,a4,f4,1572079.1,MONEY_TRANSFER
53235452,a5,f3,429102.14,MONEY_TRANSFER
53402002,a1,f4,319017.68,MONEY_TRANSFER
53465410,a2,f2,491114.11,MONEY_TRANSFER
54825066,a4,f0,699781.03,MONEY_TRANSFER
56008743,a3,f1,531059.71,MONEY_TRANSFER
57313357,a3,f1,744902.74,MONEY_TRANSFER
58261303,a5,f3,494973.63,MONEY_TRANSFER
58541495,a4,f4,567518.98,MONEY_TRANSFER
58770089,a4,f0,440952.05,MONEY_TRANSFER
60892391,a5,f3,454302.88,MONEY_TRANSFER
61139603,a4,f4,419953.37,MONEY_TRANSFER
61246515,a0,f1,266252.16,MONEY_TRANSFER
