id,bank,office,lon,lat,phone_number,send_sms
1000.1600,"banca d'italia","milano p.zza edison, 3",9.104752850140462,45.464193341551265,"+39 534 3638400",true
1000.1601,"banca d'italia","milano corso sempione, 57 - milano succu",9.22271736453216,45.3964716709182,"+39 534 3638400",true
1005.1612,"banca nazionale del lavoro spa","milano ag.12",9.178102220506933,45.478184848007224,"+39 477 17672783",true
1005.1625,"banca nazionale del lavoro spa","milano bnl - centro amministrativo titol",9.146445053308451,45.44144438553333,"+39 477 17672783",true
1005.1630,"banca nazionale del lavoro spa","milano ag. 32",9.225949028898926,45.43374143198733,"+39 477 17672783",true
1005.1636,"banca nazionale del lavoro spa","milano ag. 35",9.248004653467762,45.486385340651985,"+39 477 17672783",true
1005.1637,"banca nazionale del lavoro spa","milano ag.36",9.055765289029477,45.42120011759437,"+39 477 17672783",true
1005.1645,"banca nazionale del lavoro spa","milano ag.51",9.273260634628373,45.49712152183222,"+39 477 17672783",true
1015.1601,"banco di sardegna spa","milano agenzia 1",9.18439872612468,45.43156328319792,"+39 914 82 20 2929",true
1015.1602,"banco di sardegna spa","milano ag. 2",9.1443683460536,45.4804409670817,"+39 914 82 20 2929",true
1015.1603,"banco di sardegna spa","milano ag. 3",9.194209534849296,45.52204075976868,"+39 914 82 20 2929",true
1020.1600,"banco di sicilia spa","milano ag. a",9.174315908617382,45.45392620112737,"+39 708 47 84 0800",true
1020.1606,"banco di sicilia spa","milano ag.6",9.084502435731137,45.41149166825727,"+39 708 47 84 0800",true
1020.1608,"banco di sicilia spa","milano ag.8",9.176903713368922,45.49801813514729,"+39 708 47 84 0800",true
1020.1609,"banco di sicilia spa","milano ag.9",9.044226451039561,45.44702110931265,"+39 708 47 84 0800",true
1020.1610,"banco di sicilia spa","milano filiale 10",9.096288857163835,45.489317906636565,"+39 708 47 84 0800",true
1020.1680,"banco di sicilia spa","milano sede - unita' servizi",9.214988415126024,45.39316927132448,"+39 708 47 84 0800",true
1020.1681,"banco di sicilia spa","milano-comparto rapporti con mediosim",9.221470825406756,45.45274615363893,"+39 708 47 84 0800",true
1025.1609,"sanpaolo imi s.p.a. fus. intesa san paol","milano 09",9.158803014115117,45.42677440998984,"+39 192 7198067",true
1025.1610,"sanpaolo imi s.p.a. fus. intesa san paol","milano filiale 8",9.200986275227804,45.39856903590392,"+39 192 7198067",true
1025.1612,"sanpaolo imi s.p.a. fus. intesa san paol","milano viale gran sasso, 28/3",9.26665957173482,45.47125891660815,"+39 192 7198067",true
1025.1613,"sanpaolo imi s.p.a. fus. intesa san paol","milano sport.centro comm.superstore",9.10464005192261,45.51182726496887,"+39 192 7198067",true
1025.1614,"sanpaolo imi s.p.a. fus. intesa san paol","milano via parenzo, 2",9.215841176025446,45.447810419399715,"+39 192 7198067",true
1025.1615,"sanpaolo imi s.p.a. fus. intesa san paol","milano filiale 13",9.264557751404846,45.52009525801826,"+39 192 7198067",true
1025.1622,"sanpaolo imi s.p.a. fus. intesa san paol","milano presso aziende gruppo montedison",9.081968506413597,45.51382107860237,"+39 192 7198067",true
1025.1627,"sanpaolo imi s.p.a. fus. intesa san paol","milano filiale 32",9.151827886026844,45.520757190833805,"+39 192 7198067",true
1025.1628,"sanpaolo imi s.p.a. fus. intesa san paol","milano filiale 33",9.05320119616612,45.4012669840227,"+39 192 7198067",true
1025.1636,"sanpaolo imi s.p.a. fus. intesa san paol","milano filiale 34",9.24014227439831,45.45150647223597,"+39 192 7198067",true
1025.1638,"sanpaolo imi s.p.a. fus. intesa san paol","milano - sportello c_o osp. s. giuseppe",9.067886301429802,45.41488243999557,"+39 192 7198067",true
1025.1640,"sanpaolo imi s.p.a. fus. intesa san paol","milano filiale 37",9.054365980666274,45.53046710306598,"+39 192 7198067",true
1025.1647,"sanpaolo imi s.p.a. fus. intesa san paol","milano filiale 19",9.074000328560134,45.40308566819587,"+39 192 7198067",true
1025.1662,"sanpaolo imi s.p.a. fus. intesa san paol","milano 40",9.14602845967155,45.43981928555254,"+39 192 7198067",true
1025.1663,"sanpaolo imi s.p.a. fus. intesa san paol","milano 41",9.108128751669447,45.39121354146914,"+39 192 7198067",true
1025.1664,"sanpaolo imi s.p.a. fus. intesa san paol","milano 42",9.169540666434287,45.435279328167205,"+39 192 7198067",true
1025.1665,"sanpaolo imi s.p.a. fus. intesa san paol","milano 43",9.058668068177257,45.44219692643209,"+39 192 7198067",true
1025.1666,"sanpaolo imi s.p.a. fus. intesa san paol","milano 44",9.19583403462893,45.52011181477361,"+39 192 7198067",true
1025.1667,"sanpaolo imi s.p.a. fus. intesa san paol","milano 45",9.240349328324646,45.5017963344728,"+39 192 7198067",true
1025.1668,"sanpaolo imi s.p.a. fus. intesa san paol","milano 46",9.237934193852574,45.4312023592803,"+39 192 7198067",true
1025.1669,"sanpaolo imi s.p.a. fus. intesa san paol","milano 47",9.150951332527676,45.4038912505774,"+39 192 7198067",true
1025.1670,"sanpaolo imi s.p.a. fus. intesa san paol","milano 48",9.08801699018454,45.52330189164528,"+39 192 7198067",true
1025.1672,"sanpaolo imi s.p.a. fus. intesa san paol","milano 49",9.085735769318935,45.48242410613606,"+39 192 7198067",true
1025.1794,"sanpaolo imi s.p.a. fus. intesa san paol","milano sportello pharmacia",9.251698492885728,45.513503488192804,"+39 192 7198067",true
1025.1797,"sanpaolo imi s.p.a. fus. intesa san paol","milano 35",9.111709663642563,45.518960092844054,"+39 192 7198067",true
1025.1798,"sanpaolo imi s.p.a. fus. intesa san paol","milano filiale 36",9.104643669403913,45.490744589128255,"+39 192 7198067",true
1030.1601,"banca montepaschi di siena s.p.a.","milano ag.1",9.150543593181794,45.391891613737606,"+39 85 77446688",false
1030.1602,"banca montepaschi di siena s.p.a.","milano ag.2",9.055894478138264,45.40661871475206,"+39 85 77446688",false
1030.1603,"banca montepaschi di siena s.p.a.","milano ag.3",9.261058290925781,45.44611461514312,"+39 85 77446688",false
1030.1604,"banca montepaschi di siena s.p.a.","milano ag.4",9.072600537532965,45.510041729812386,"+39 85 77446688",false
1030.1605,"banca montepaschi di siena s.p.a.","milano ag.5",9.223486549976645,45.50340757772705,"+39 85 77446688",false
1030.1606,"banca montepaschi di siena s.p.a.","milano ag.6",9.24804821904996,45.43961001218082,"+39 85 77446688",false
1030.1607,"banca montepaschi di siena s.p.a.","milano ag.7",9.233028342903626,45.50265377254032,"+39 85 77446688",false
1030.1609,"banca montepaschi di siena s.p.a.","milano ag.8",9.193074872563491,45.50456711771793,"+39 85 77446688",false
1030.1611,"banca montepaschi di siena s.p.a.","milano ag.10",9.249647112970857,45.44723744101439,"+39 85 77446688",false
1030.1612,"banca montepaschi di siena s.p.a.","milano ag.11",9.23253513356305,45.446950105700196,"+39 85 77446688",false
1030.1613,"banca montepaschi di siena s.p.a.","milano ag. 12",9.174611710279125,45.519494055310126,"+39 85 77446688",false
1030.1625,"banca montepaschi di siena s.p.a.","milano ag. 29",9.061158197908636,45.48800014338965,"+39 85 77446688",false
1030.1630,"banca montepaschi di siena s.p.a.","milano ag. 30",9.048082063264854,45.524614030439004,"+39 85 77446688",false
1030.1631,"banca montepaschi di siena s.p.a.","milano ag. 32",9.151003525926315,45.417847575018556,"+39 85 77446688",false
1030.1632,"banca montepaschi di siena s.p.a.","milano ag. 33",9.20139433762252,45.43986792872911,"+39 85 77446688",false
1030.1633,"banca montepaschi di siena s.p.a.","milano ag. 34",9.129347038668776,45.41840961773625,"+39 85 77446688",false
1030.1634,"banca montepaschi di siena s.p.a.","milano ag. 35",9.170430022031477,45.522082091042584,"+39 85 77446688",false
